名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,人均价格,lon,lat,x,y
爱粥人,山东,济南,济南,0531,81281511,解放路,历山路118号优品汇奥特莱斯购物广场B1层,美食,鲁菜,58,117.039078,36.65871,13028730.5658742,4391641.53004275
百斯特酒店,山东,济南,济南,0531,67806777,北园大街,生产路与夜市步行街北口北行150米路东,美食,鲁菜,387,117.015587,36.687759,13026115.559716,4395673.3246572
便宜坊,山东,济南,济南,0531,87933507,大观园,经三路93号,美食,鲁菜,98,116.991013,36.662537,13023379.9945492,4392172.60338463
便宜坊,山东,济南,济南,0531,86906677,经七路,小纬六路213-b7,美食,鲁菜,112,116.988396,36.652699,13023088.6714418,4390807.43600176
菜香园餐厅,山东,济南,济南,0531,185****8856,济大/国际会展中心,舜玉北区40号楼1楼东1号,美食,鲁菜,67,117.016975,36.628044,13026270.0711692,4387386.95770946
菜赢生煎饼卷大葱,山东,济南,济南,0531,0531-66959955,齐鲁软件园,舜风路1006-5号,美食,鲁菜,31,117.138931,36.675266,13039846.1509884,4393939.19854903
草包包子铺1937,山东,济南,济南,0531,88880077,绿地中心,普利街15号（近趵突泉）,美食,鲁菜,35,117.011452,36.66449,13025655.2536215,4392443.63165172
朝天锅,山东,济南,济南,0531,87910121,大观园,经四路391号,美食,鲁菜,89,116.989685,36.660877,13023232.1622654,4391942.24170285
陈氏全羊快餐,山东,济南,济南,0531,88209661,华龙路沿线,华龙路与七里河路交叉口西南角,美食,鲁菜,102,117.07975,36.680717,13033258.1522037,4394695.80534679
诚祥餐厅,山东,济南,济南,0531,85890330,小清河/盖世物流,新黄路2779号,美食,鲁菜,147,117.009987,36.707386,13025492.1705675,4398398.27482247
城南往事·海鲜楼·鲁菜烤鸭,山东,济南,济南,0531,82763636;82563366,伟东新都,玉函路272号,美食,鲁菜,70,117.008263,36.617153,13025300.2557654,4385876.35792124
城南往事·味道济南菜,山东,济南,济南,0531,82021212;82760606,玉函银座,"经十路18877号（近泉城公园北门,省电视台西行200米路北）",美食,鲁菜,85,117.017258,36.649029,13026301.5745851,4390298.21412537
晟荷大酒店,山东,济南,济南,0531,85961666;85550366,无影山,西苑小区天发路6号,美食,鲁菜,192,116.96936,36.687168,13020969.5936151,4395591.28288762
春江饭店,山东,济南,济南,0531,0531-88511945,解放路,解放路35号,美食,鲁菜,118,117.060875,36.666599,13031156.996815,4392736.31659729
春江饭店,山东,济南,济南,0531,86927292,绿地中心,共青团路56号（易捷便利店旁）,美食,鲁菜,105,117.009865,36.663048,13025478.5895896,4392243.51692645
春水锅贴·传统鲁菜,山东,济南,济南,0531,156****6168,大明湖,花店街25号,美食,鲁菜,76,117.0131,36.671898,13025838.7081423,4393471.7420002
大庆炒鸡,山东,济南,济南,0531,139****3015,伟东新都,土屋路18号,美食,鲁菜,129,117.007538,36.61438,13025219.5491346,4385491.77229961
大滋味·大师级鲁菜,山东,济南,济南,0531,61320999,奥体中心,经十东路10567号成城大厦一楼,美食,鲁菜,68,117.11042,36.661179,13036672.3209864,4391984.15050661
箪食巷私房菜馆,山东,济南,济南,0531,0531-86012877,伟东新都,舜玉路街道玉函路100号(近西藏中学),美食,鲁菜,79,117.010307,36.623661,13025527.7928046,4386779.00266703
稻乡村菜馆,山东,济南,济南,0531,0531-82960176,千佛山公园,燕子山西路40-2号,美食,鲁菜,132,117.056145,36.643394,13030630.4556235,4389516.39071145
鼎好家常菜,山东,济南,济南,0531,0531-86968999;156****8893,火车站/堤口路,经一路2号,美食,鲁菜,112,116.998245,36.668533,13024185.0571066,4393004.72226491
鼎好家常菜,山东,济南,济南,0531,61318999,高新会展中心,康虹路766号盛世花苑19号楼一层,美食,鲁菜,108,117.126137,36.68697,13038421.9294232,4395563.79695353
鼎好家常菜,山东,济南,济南,0531,0531-86998999;183****1228,五院,营市街街道经十路25099号(驿程连锁酒店1-2层),美食,鲁菜,144,116.952545,36.650261,13019097.7563774,4390469.15456698
