id,name,rank,x,y,lon,lat
1,维也纳酒店(济南华山景区店),三星,13031254.85,4401224.061,117.061754,36.727734
2,尚泉历舍泉文化酒店(济南大明湖景区店),四星,13028429.11,4394525.63,117.03637,36.679491
3,尚泉历舍(济南大明湖景区店),三星,13028986.6,4394868.621,117.041378,36.681962
4,银座佳驿酒店(山大路店),二星,13031107.79,4390967.006,117.060433,36.653849
5,希岸酒店(济南华山景区将军路店),三星,13030897.62,4400941.004,117.058545,36.725696
6,沃德smart酒店(济南大明湖景区店),四星,13028960.33,4397431.613,117.041142,36.700424
7,易佰良品酒店(济南北园大街店）,二星,13026348.66,4396037.315,117.017681,36.690381
8,桔子酒店(济南华山风景区环宇城店),三星,13033022.15,4403830.12,117.07763,36.746495
9,汉庭酒店(济南华山风景区环宇城店),二星,13031246.72,4401157.671,117.061681,36.727256
10,柏泰智选酒店(济南华山风景区店),二星,13032937.44,4403839.15,117.076869,36.74656
11,济南大明湖景区轻居酒店,三星,13026875.87,4394824.202,117.022417,36.681642
12,白玉兰商务酒店(济南华山景区环宇城店),三星,13031227.13,4401229.2,117.061505,36.727771
13,艺龙万国酒店(济南火车站大明湖景区店),三星,13024942.92,4393831.215,117.005053,36.674488
14,如家精选酒店(济南华山风景区环宇城店),三星,13031250.17,4401203.783,117.061712,36.727588
15,如家睿柏云酒店(济南华山景区店),二星,13032983.19,4403748.293,117.07728,36.745906
16,沃德・丽豪酒店(济南章丘明水古城店）,三星,13084507.31,4399789.966,117.540129,36.717408
17,米莱酒店(济南华山风景区店),二星,13032717.81,4403927.646,117.074896,36.747197
18,荟祝轻奢酒店(济南华山风景区店),二星,13032827.23,4403778.44,117.075879,36.746123
19,漫瑞智能影音酒店(华山风景区店),二星,13032805.75,4403625.624,117.075686,36.745023
20,济南泊雅影院酒店(华山风景区店),二星,13032855.29,4403596.45,117.076131,36.744813
21,尚客优连锁酒店(济南仲宫店),二星,13027780.01,4370494.977,117.030539,36.50617
22,逸・享家影院酒店(济南华山风景区店),二星,13033015.25,4403854.432,117.077568,36.74667
23,润德宾馆(华山西路),一星,13029270.69,4400933.921,117.04393,36.725645
24,济南裕华珺悦酒店(华山风景区店),二星,13033502.94,4404523.102,117.081949,36.751483
25,铂乔智能影院酒店(济南华山风景区店),二星,13032800.07,4403800.807,117.075635,36.746284
26,如家华驿精选酒店(济南华山风景区店),二星,13033016.14,4403615.76,117.077576,36.744952
27,贝壳酒店(济南大明湖景区北园银座商城店),二星,13026238.23,4396024.543,117.016689,36.690289
28,大富鲨・电竞酒店(华山风景区店),二星,13033505.28,4404514.349,117.08197,36.75142
29,希尔顿欢朋酒店（济南华山风景区）,四星,13035286.62,4402592.367,117.097972,36.737585
30,铭方酒店(济南站大明湖景区店),二星,13024348.03,4395074.198,116.999709,36.683443
31,考拉酒店(华山街道中海湖畔店),二星,13032976.96,4403835.399,117.077224,36.746533
32,济南林浩堂大酒店(门牙景区店),二星,13031090.43,4365159.624,117.060277,36.467636
33,丰豪宾馆(英雄山店),二星,13024738.54,4389900.566,117.003217,36.646163
34,花筑泰山和居民宿,三星,13030350.49,4342483.572,117.05363,36.303647
35,鹤隐山居(济南九如山风景区店),二星,13058006.03,4369143.234,117.302064,36.496409
36,半山半城民宿,一星,13052187.81,4368067.197,117.249798,36.488638
37,艾米Amy设计师民宿(济南华山风景区店),二星,13032888.91,4403588.393,117.076433,36.744755
38,济南慧泉静修民宿(仲宫门牙景区店),二星,13031137.85,4365033.521,117.060703,36.466725
39,米莱酒店(济南华山风景区店),二星,13032984.64,4403725.093,117.077293,36.745739
40,灵岩大佛山景区房车民宿(菩提园),一星,13021692.06,4350061.55,116.97585,36.358488
41,花筑柒舍民宿,三星,13051525.79,4368234.321,117.243851,36.489845
42,悦舍民宿(济南九如山风景区店),三星,13057904.51,4369101.83,117.301152,36.49611
43,九如山诺漫堡生活情境酒店,二星,13057910.52,4367811.6,117.301206,36.486792
44,柒禾民宿(济南华山风景区店),二星,13031731.96,4399994.388,117.06604,36.71888
45,济南观山望瀑民宿(九如山风景区店),二星,13058051.34,4369243.352,117.302471,36.497132
46,花筑山里民宿,三星,13060399.63,4377935.591,117.323566,36.559877
47,花筑・济南舜雨书房民宿(千佛山景区店),四星,13028584.63,4390064.702,117.037767,36.647346
48,朵颐里舍民宿,二星,13030254.64,4343195.253,117.052769,36.308799
49,济南欧式主题民宿(华山景区店),二星,13033241.34,4403664.244,117.079599,36.745301
50,爱尚家客房(济南明水大街店),二星,13084412.02,4399855.514,117.539273,36.71788
51,可馨民宿(朱家峪景区店),二星,13090266.64,4391187.356,117.591866,36.655437
52,摩根・民宿(济南华山风景区店),二星,13031795.75,4399993,117.066613,36.71887
53,坛井院子(朱家峪景区店),二星,13090292.8,4391141.149,117.592101,36.655104
54,欧式主题公寓(济南华山景区店),二星,13033589.77,4404011.558,117.082729,36.747801
55,沃德smart酒店(济南大明湖景区店),三星,13028899.66,4397459.659,117.040597,36.700626
56,尚客优酒店(济南仲宫南部山区风景区店）,二星,13027788.36,4370493.315,117.030614,36.506158
57,银座佳驿酒店(济南文化东路山东师范大学店）,二星,13031086.53,4390975.193,117.060242,36.653908
58,归云庄园(济南青龙峪空心山景区店),二星,13060373.8,4378032.049,117.323334,36.560573
59,银座佳驿酒店(济南经十路省中医医院店）,二星,13031058.92,4390952.853,117.059994,36.653747
60,尚客优酒店(泉城广场齐鲁医院店),二星,13027998.97,4392143.045,117.032506,36.662324
61,汉庭酒店(济南长清大学城店),二星,13005013.5,4378600.7,116.826024,36.564676
62,维也纳酒店(济南章丘政务中心大学城店),三星,13083768.81,4394493.428,117.533495,36.679259
63,汉庭酒店(济南遥墙国际机场店),二星,13048229.18,4418490.847,117.214237,36.851952
64,锦江之星酒店(济南历山路店),二星,13029849.77,4394264.126,117.049132,36.677607
65,7天酒店(济南CBD山东政法学院店),二星,13034606.57,4393255.925,117.091863,36.670343
66,7天优品(济南大明湖店),二星,13028436.01,4396086.875,117.036432,36.690738
67,锦江之星酒店(济南大明湖店),二星,13026816.2,4394157.944,117.021881,36.676842
68,如家联盟华驿酒店(西客站店),二星,13013884.66,4393429.272,116.905715,36.671592
69,格林豪泰酒店(济南市汽车总站店),二星,13102699.47,4328897.16,117.703552,36.205227
70,汉庭酒店(济南西站店),三星,13015186.55,4394517.441,116.91741,36.679432
71,银座佳驿酒店(齐鲁儿童医院一店),二星,13021081.47,4391134.905,116.970365,36.655059
72,济南莱芜希尔顿欢朋酒店,四星,13104750.76,4334446.996,117.721979,36.245445
73,山东翰林大酒店,四星,13029780.31,4391135.599,117.048508,36.655064
74,格林豪泰智选酒店(芙蓉街趵突泉泉城广场店）,二星,13027382.26,4393591.519,117.026966,36.672761
75,全季酒店(济南遥墙机场航天大道酒店),三星,13049029.34,4423483.804,117.221425,36.887834
76,格林豪泰商务酒店(济南世纪大道历城店）,二星,13050767.26,4397310.96,117.237037,36.699555
77,维也纳3好酒店(洪楼广场店),三星,13034683.71,4396606.507,117.092556,36.694481
78,速8酒店(济南国际机场店),二星,13048523.62,4414781.947,117.216882,36.825287
79,济南双林酒店,二星,13057800.54,4397430.086,117.300218,36.700413
80,7天优品(北园大街红星美凯龙店),二星,13030300.39,4396772.273,117.05318,36.695675
81,维也纳酒店(济南舜耕国际会展中心店),三星,13025682.3,4388671.226,117.011695,36.637302
82,汉庭酒店(济南莱芜银座商城店),二星,13100889.97,4330609.635,117.687297,36.217639
83,如家酒店(世茂宽厚里店),二星,13029350.17,4393444.539,117.044644,36.671702
84,如家酒店(泉城路芙蓉街店),二星,13027120.89,4393176.4,117.024618,36.66977
85,格林豪泰酒店(济南洪楼广场印象城店）,二星,13031359.93,4395372.369,117.062698,36.685591
86,格林豪泰酒店(济南长清大学城店),二星,13004767.82,4378284.286,116.823817,36.562393
87,维也纳3好酒店(济南医学中心店),三星,13014952.78,4396601.093,116.91531,36.694442
88,如家酒店(济南经四路大观园省立医院店),二星,13024067.28,4392858.861,116.997187,36.667482
89,儒谊精品酒店(济南省立东院店),二星,13038234.69,4393446.482,117.124455,36.671716
90,桔子酒店(济南文化东路店),三星,13031773.71,4391969.302,117.066415,36.661072
91,汉庭酒店(济南高新区凤凰路店),二星,13041638.73,4395027.003,117.155034,36.683103
92,格林豪泰智选酒店(莱城大道吐丝口大厦店),二星,13093460.85,4344162.01,117.62056,36.315797
93,天地仁和连锁酒店(济南省立医院经四路店),二星,13023253.2,4392490.261,116.989874,36.664826
94,尚客优连锁酒店(英才学院店),二星,13037810.67,4419497.265,117.120646,36.859186
95,希岸酒店(济南泉城欧乐堡店),三星,13015423.43,4410208.42,116.919538,36.792393
96,汉庭优佳酒店(泉城路店),三星,13028204.58,4393566.953,117.034353,36.672584
97,汉庭酒店(济南经四路中山公园店),二星,13023614.1,4392649.856,116.993116,36.665976
98,艾布精致酒店(济南大明湖店),二星,13028018.01,4395304.072,117.032677,36.685099
99,汉庭酒店(济南山大北路店),二星,13031819.68,4395382.364,117.066828,36.685663
100,希岸酒店(济南山大路店),三星,13031215.22,4395905.849,117.061398,36.689434
101,银座精宿酒店(济南大明湖历山路店),三星,13030440.66,4394899.436,117.05444,36.682184
102,全季酒店(和谐广场店),三星,13023296.06,4391444.622,116.990259,36.657291
103,希岸Deluxe酒店(济南西站店）,四星,13013930.75,4394271.621,116.906129,36.677661
104,全季酒店(济阳济北公园店),三星,13045382.29,4436075.133,117.188663,36.978247
105,银座佳驿酒店(燕子山路店),二星,13032371.38,4393144.063,117.071784,36.669537
106,银座佳驿酒店(济南火车站广场店),二星,13024043.57,4393994.579,116.996974,36.675665
107,汉庭酒店(济南泉城广场朝山街店),二星,13028117.42,4392545.911,117.03357,36.665227
108,银座佳驿酒店(裕丰家园店),二星,13106715.66,4330248.27,117.73963,36.21502
109,丽枫酒店(全福立交桥店),三星,13032593.91,4398841.23,117.073783,36.710576
110,济南琥珀安泊酒店,二星,13032286.11,4395752.174,117.071018,36.688327
111,济南章丘世纪大道亚朵酒店,四星,13080313.68,4397207.525,117.502457,36.69881
112,汉庭酒店(华信路店),二星,13034554.91,4396682.448,117.091399,36.695028
113,济南鹊华国际酒店,四星,13029539.75,4403239.426,117.046347,36.742243
114,银座佳驿酒店(济南商河明辉路店),二星,13042340.26,4483069.878,117.161336,37.314748
115,银座佳驿(济南英雄山警官医院四季花园店),二星,13025165.23,4387526.225,117.00705,36.629048
116,济南西城泉盈酒店,三星,13005017.29,4378246.173,116.826058,36.562118
117,济南城建假日酒店,三星,13024099.23,4390198.454,116.997474,36.64831
118,汉廷酒店(济南绣水大街百脉泉店),二星,13086181.44,4398966.76,117.555168,36.71148
119,如家商旅酒店(科创路店),三星,13059352.55,4395340.997,117.31416,36.685365
120,7天酒店(洪楼印象城店),二星,13031999.8,4395476.897,117.068446,36.686344
121,丽枫酒店(济南高新万达会展中心店),三星,13039418.68,4396475.452,117.135091,36.693537
122,银座佳驿酒店(莱芜香山路店),二星,13103752.33,4333293.408,117.71301,36.237087
123,如家酒店(济南高新区齐鲁软件园舜华路店),二星,13040282.86,4394019.146,117.142854,36.675842
124,希岸Deluxe酒店(济南解放路店),四星,13032911.84,4393543.497,117.076639,36.672415
125,汉庭酒店(济南东站店),二星,13045603.26,4404314.563,117.190648,36.749982
126,维也纳3好酒店(济南国际会展中心店）,三星,13019533.79,4393126.853,116.956462,36.669413
127,亚朵酒店(天辰路店),四星,13041070.22,4396260.407,117.149927,36.691988
128,汉庭酒店(趵突泉店),二星,13027044.97,4393133.099,117.023936,36.669458
129,银座佳驿酒店(二环东路汽车东站店),二星,13033242.34,4393778.89,117.079608,36.674111
130,沃德酒店(济南和谐广场齐鲁儿童医院店),三星,13021376.69,4391015.433,116.973017,36.654198
131,如家酒店(大观园万达广场店),二星,13024883.03,4392918.121,117.004515,36.667909
132,山东舜和酒店(泉城广场店),四星,13028520.06,4392741.451,117.037187,36.666636
133,丽枫酒店(工业南路店),三星,13034126.22,4394450.121,117.087548,36.678947
134,尚客优精选酒店(济南口镇店),二星,13095101.25,4343027.136,117.635296,36.307582
135,尚客优快捷酒店(济南齐鲁软件园店),二星,13040284.64,4394120.885,117.14287,36.676575
136,速8酒店(济南长途汽车总站西门店),二星,13024033.55,4396342.87,116.996884,36.692582
137,汉庭酒店(长途汽车总站店),二星,13024190.4,4395388.333,116.998293,36.685706
138,7天酒店(经一纬四店),二星,13024044.02,4393515.461,116.996978,36.672213
139,全季酒店(济南遥墙国际机场店),三星,13048757.83,4414440.957,117.218986,36.822835
140,全季酒店(济南长途汽车站店),三星,13024340.79,4396575.132,116.999644,36.694255
141,7天优品(御景城店),二星,13042231.62,4484883.048,117.16036,37.327701
142,银座和美酒店(济南高新万达会展中心店),二星,13039447.63,4396848.354,117.135351,36.696223
143,汉庭优佳济南遥墙国际机场酒店,三星,13048831.42,4415250.895,117.219647,36.828659
144,奥纳瑞铂酒店,二星,13040073.13,4400919.616,117.14097,36.725542
145,曼悦酒店(济南西站国际会展中心店),二星,13013472.89,4391847.323,116.902016,36.660193
146,骏怡连锁酒店(济南火车站广场店),二星,13023856.66,4394037.051,116.995295,36.675971
147,汉庭酒店(济南汉峪金谷奥体中心店),三星,13040322.82,4392720.079,117.143213,36.666482
148,和颐至尚酒店(趵突泉店),四星,13026313.49,4393322.404,117.017365,36.670822
149,柏曼酒店(济南奥体中心省立东院店),三星,13038114.35,4393226.78,117.123374,36.670133
150,魔方酒店公寓(济南和谐广场店),二星,13022744.58,4391562.433,116.985305,36.65814
151,汉庭优佳酒店(济南西站东广场店),三星,13013263.61,4393269.943,116.900136,36.670444
152,柏蔓艺术花园酒店(济南高新万达会展中心店）,四星,13040097.29,4395188.579,117.141187,36.684267
153,华驿酒店(火车站北广场店),二星,13023745.12,4394589.758,116.994293,36.679953
154,济南泰恒大酒店,二星,13016410.84,4401038.782,116.928408,36.7264
155,济南安妮共享家公寓(2号店),二星,13025457.22,4386582.045,117.009673,36.622241
