id,name,x,y,lon,lat,context,picture,price,time,link
1,Baotu Spring Scenic Area,13026867.52,4392850.118,117.022342,36.667419,"Baotu Spring Scenic Area, with magnificent spring eruptions, a long historical and cultural heritage, a combination of natural and cultural landscapes, ideal for family outings, experiencing spring culture, admiring ancient architecture, and feeling the unique charm of Jinan's springs, is one of Jinan's iconic scenic spots",https://kimi-img.moonshot.cn/webimg2/p1.ssl.qhimg.com/045dc8df9f92086f2a9465c13f69d35f270b3264,￥40,4月10日–10月9日：7:00–19:00；10月10日–次年4月9日：7:00–18:00,https://you.ctrip.com/sight/jinan128/4971.html?renderPlatform=
2,Daguanyuan,13023302.85,4392229.917,116.99032,36.66295,"Daguanyuan, Jinan's old trading firms, historical buildings, night tours, experiencing the charm of old Jinan, suitable for cultural enthusiasts, experiencing traditional commercial culture, admiring ancient and elegant architecture, tasting local snacks, and feeling the vibrant urban atmosphere",https://p0.meituan.net/ugcpic/55809c422f919afd81eeaf3ec785ac1b%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,10:00–21:00,https://you.ctrip.com/sight/jinan128/1830103.html?renderPlatform=
3,Mount Qianfo Scenic Area,13030094.01,4388786.925,117.051326,36.638136,"Mount Qianfo Scenic Area, offering a panoramic view of Jinan city from the summit, a blend of natural landscapes and religious culture, perfect for hiking enthusiasts, enjoying the pleasure of mountain climbing, admiring the beautiful natural scenery, visiting Buddhist cultural relics, and experiencing peace and tranquility",https://p0.meituan.net/ugcpic/8dbbe5cf33d4a4f452c0fa555c717648%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥30,06:30–18:00,https://you.ctrip.com/sight/jinan128/4970.html?renderPlatform=
4,Huashan Scenic Area,13033530.66,4402365.948,117.082198,36.735955,"Huashan Scenic Area, known for its beautiful natural landscapes and unique charm, ideal for hiking and enjoying nature, experiencing historical culture, perfect for family outings, engaging in outdoor activities, and enjoying the dual appeal of nature and culture",https://p0.meituan.net/ugcpic/51c9fabc284e711f9b5e28ed64d5e880%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,华山门步行登山道24小时开放；上行索道07:00–16:00，下行索道07:00–20:00,https://you.ctrip.com/sight/jinan128/1831395.html?renderPlatform=
5,Jinan Daming Lake Scenic Area,13027961.68,4395088.218,117.032171,36.683544,"Jinan Daming Lake Scenic Area, a natural spring-fed lake park with beautiful scenery, perfect for leisure and sightseeing, rich in historical and cultural heritage, a combination of natural and cultural landscapes, ideal for family outings, enjoying lakes and mountains, and experiencing Jinan's spring culture",https://p0.meituan.net/ugcpic/dda4ca7f57511bef3e654a42dc5de237%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,新景区全天开放，老景区7:00–21:00（19:00后停止售票）,https://you.ctrip.com/sight/jinan128/4967.html?renderPlatform=#ctm_ref=www_hp_bs_lst
6,Longdong Scenic Area,13037649.82,4384717.373,117.119201,36.608796,"Longdong Scenic Area, rich in natural landscapes, perfect for sightseeing and hiking, with deep historical and cultural heritage, ideal for cultural enthusiasts, experiencing the fusion of nature and history, admiring the beautiful natural scenery, and enjoying the fun of outdoor activities",https://p0.meituan.net/ugcpic/de71faabeb65c7e5f7be783f1870b913%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,08:00–18:00,https://you.ctrip.com/sight/jinan128/69566236.html?scene=online
7,Shandong Museum,13035758.39,4392419.762,117.10221,36.664318,"Shandong Museum, housing a vast collection of ancient artifacts and diverse exhibitions, perfect for cultural enthusiasts and historical researchers, experiencing Shandong's historical and cultural heritage, exploring ancient civilizations, ideal for family outings, expanding knowledge, and broadening horizons",http://p0.meituan.net/hoteltdc/e0415f4ec5a119754e56bfe8fe67840e1044572.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,周二至周日9:00–17:00（16:00停止入馆），周一闭馆（除国家法定节假日）,https://you.ctrip.com/sight/jinan128/5412.html?scene=online
8,Black Tiger Spring,13028538.87,4392990.011,117.037356,36.668427,"Black Tiger Spring, one of Jinan's Four Famous Springs, with clear springs and beautiful natural scenery, ideal for family outings, experiencing spring culture, admiring ancient architecture, and feeling the unique charm of Jinan's springs",http://p0.meituan.net/tdctraveldark/76f6d01bf262fdbfccce93f9ce21ae85269956.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,全天开放,https://you.ctrip.com/sight/jinan128/4975.html?scene=online
9,Lingyan Temple,13023596.51,4351886.749,116.992958,36.371691,"Lingyan Temple, one of China's Four Great Buddhist Monasteries, with numerous historical buildings, a blend of natural landscapes and religious culture, perfect for cultural enthusiasts, experiencing the profound Buddhist culture, and appreciating the tranquility and harmony of ancient temples",http://p1.meituan.net/tdctraveldark/c4567915ce7f107c105c6c46d10c145f10558960.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥40,08:30–17:00,https://you.ctrip.com/sight/jinan128/20916.html?scene=online
10,Jinan World's First Spring Scenic Area,13029147.46,4393892.841,117.042823,36.674932,"Jinan World's First Spring Scenic Area, composed of one river, one lake, three springs, and four parks, a blend of natural and cultural landscapes, ideal for family outings, experiencing spring culture, enjoying lakes and mountains, and feeling Jinan's historical and cultural heritage",https://p0.meituan.net/ugcpic/e3201d51662fb20116cbc93fb339787c%40340w_255h_1e_1c_1l%7Cwatermark%3D0,free,08:00–21:00，具体亮灯时间以现场为准,https://you.ctrip.com/sight/jinan128/1697518.html?scene=online
