id,name,x,y,lon,lat,context,picture,price,time,link
1,趵突泉景区,13026376.01392861,4392009.395783246,117.0179267,36.66136092,趵突泉景区，泉水喷发壮丽，历史文化悠久，自然景观与人文景观相结合，适合家庭出游，体验泉水文化，欣赏古建筑，感受济南泉水的独特魅力，是济南的标志性景点之一。可以参加趵突泉泉水节，欣赏传统戏曲表演，参加泉水文化讲座和每年元宵节附近举办的花灯会。,https://kimi-img.moonshot.cn/webimg2/p1.ssl.qhimg.com/045dc8df9f92086f2a9465c13f69d35f270b3264,￥40,4月10日–10月9日：7:00–19:00；10月10日–次年4月9日：7:00–18:00,https://you.ctrip.com/sight/jinan128/4971.html?renderPlatform=
2,大观园,13023976.488908714,4392070.945272222,116.9963714,36.66180445,大观园，济南的老商号，历史建筑，夜游打卡，感受老济南的韵味，适合文化爱好者，体验传统商业文化，欣赏古色古香的建筑，欣赏传统戏曲表演，品尝当地小吃，感受浓郁的市井气息,https://p0.meituan.net/ugcpic/55809c422f919afd81eeaf3ec785ac1b%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,10:00–21:00,https://you.ctrip.com/sight/jinan128/1830103.html?renderPlatform=
3,千佛山风景名胜区,13028354.49523848,4388805.655336104,117.0356997,36.63827101,千佛山风景名胜区，山顶可俯瞰济南市区全景，自然景观与宗教文化相结合，适合登山爱好者，体验登山的乐趣，欣赏美丽的自然风光，参观佛教文化遗迹，感受宁静与祥和，可以体验济南舜耕文化。,https://p0.meituan.net/ugcpic/8dbbe5cf33d4a4f452c0fa555c717648%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥30,06:30–18:00,https://you.ctrip.com/sight/jinan128/4970.html?renderPlatform=
4,华山风景区,13032195.485212708,4401445.995191019,117.0702039,36.72933188,华山风景区，自然景观优美，以奇秀著称，适合登山踏青，欣赏美丽的自然风光，感受历史文化，适合家庭出游，体验户外活动，享受自然与文化的双重魅力。,https://p0.meituan.net/ugcpic/51c9fabc284e711f9b5e28ed64d5e880%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,华山门步行登山道24小时开放；上行索道07:00–16:00，下行索道07:00–20:00,https://you.ctrip.com/sight/jinan128/1831395.html?renderPlatform=
5,济南大明湖景区,13027187.633204035,4394027.109869684,117.0252176,36.67589938,济南大明湖景区，风光秀美的天然泉水湖公园，适合踏青和休闲，历史文化底蕴深厚，自然景观与人文景观相结合，适合家庭出游，欣赏湖光山色，欣赏传统戏曲表演，感受济南的泉水文化。,https://p0.meituan.net/ugcpic/dda4ca7f57511bef3e654a42dc5de237%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,新景区全天开放，老景区7:00–21:00（19:00后停止售票）,https://you.ctrip.com/sight/jinan128/4967.html?renderPlatform=#ctm_ref=www_hp_bs_lst
6,龙洞风景区,13037269.060248746,4383143.287481594,117.1157806,36.59744442,龙洞风景区，自然景观丰富，适合踏青和登山，历史文化底蕴深厚，适合文化爱好者，感受自然与历史的融合，欣赏美丽的自然风光，体验户外活动的乐趣。,https://p0.meituan.net/ugcpic/de71faabeb65c7e5f7be783f1870b913%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,08:00–18:00,https://you.ctrip.com/sight/jinan128/69566236.html?scene=online
7,山东博物馆,13035036.77049987,4391644.811875591,117.0957276,36.65873365,山东博物馆，馆藏大量古代文物，展览丰富多样，适合文化爱好者和历史研究者，感受山东的历史文化，了解古代文明，适合家庭出游，增长知识，开阔视野。,http://p0.meituan.net/hoteltdc/e0415f4ec5a119754e56bfe8fe67840e1044572.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,周二至周日9:00–17:00（16:00停止入馆），周一闭馆（除国家法定节假日）,https://you.ctrip.com/sight/jinan128/5412.html?scene=online
8,黑虎泉,13028074.304080153,4392190.569029191,117.0331827,36.66266646,黑虎泉，济南四大名泉之一，泉水清澈见底，自然景观优美，适合家庭出游，体验泉水文化，参与非遗手工制作，欣赏古建筑，感受济南泉水的独特魅力。,http://p0.meituan.net/tdctraveldark/76f6d01bf262fdbfccce93f9ce21ae85269956.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,全天开放,https://you.ctrip.com/sight/jinan128/4975.html?scene=online
9,灵岩寺,13022503.064128576,4350821.866468031,116.9831354,36.3639882,灵岩寺，中国四大名刹之一，历史建筑众多，自然景观与宗教文化相结合，适合文化爱好者，感受佛教文化的深厚底蕴，欣赏古刹的宁静与祥和。,http://p1.meituan.net/tdctraveldark/c4567915ce7f107c105c6c46d10c145f10558960.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥40,08:30–17:00,https://you.ctrip.com/sight/jinan128/20916.html?scene=online
10,超然楼,13027968.595091695,4393952.994935008,117.0322331,36.6753654,超然楼，始建于元代，历史建筑，自然景观与人文景观相结合，适合文化爱好者，感受古建筑的魅力，欣赏大明湖的美景，体验历史文化。,https://p0.meituan.net/ugcpic/e3201d51662fb20116cbc93fb339787c%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,08:00–21:00，具体亮灯时间以现场为准,https://you.ctrip.com/sight/jinan128/1697518.html?scene=online
11,九如山风景区,13056538.096750742,4370084.2028373955,117.2888773,36.50320391,九如山风景区，自然景观丰富，适合踏青和登山，历史文化底蕴深厚，适合文化爱好者，感受自然与历史的融合，欣赏美丽的自然风光，体验户外活动的乐趣。,http://p0.meituan.net/tdctraveldark/e6bcbfa9c77b20ac004c207026e987891314540.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,08:00–17:00,https://you.ctrip.com/sight/jinan128/134048557.html?scene=online
12,济南动物园,13022769.15110742,4397640.485021223,116.9855257,36.70192837,济南动物园，风光优美的城市动物园，适合家庭出游，观赏各种珍稀动物，体验亲子互动，感受自然与动物的和谐共处，适合亲子游。,http://p0.meituan.net/tdctraveldark/f9c55370fa002e870b3e4164a81b5eec305878.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥25,06:30–17:30，动物展馆8:30开放,https://you.ctrip.com/sight/jinan128/56529.html?scene=online
13,芙蓉街,13076156.498342644,4401264.855059389,117.4651124,36.72802771,芙蓉街，人气火爆的小吃一条街，适合美食爱好者，感受老济南的市井气息，品尝各种特色小吃，体验城市漫步的乐趣，感受浓郁的市井文化。,http://p0.meituan.net/hoteltdc/b3cf3381af1b88df14caa00e2f0a3cfe1306583.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,全天开放,https://you.ctrip.com/sight/jinan128/114664.html?scene=online
14,五龙潭园区,13026065.243306164,4392692.826909612,117.015135,36.66628563,五龙潭园区，景色迷人的泉水公园，自然景观与人文景观相结合，适合家庭出游，欣赏泉水喷发的壮丽景象，感受历史文化，体验自然与文化的融合。,https://p0.meituan.net/ugcpic/0e0547220c2f3a7d3f4744985017dee4%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,4月10日–10月9日：7:00–19:00；10月10日–次年4月9日：7:00–18:00,https://you.ctrip.com/sight/jinan128/4976.html?scene=online
15,明水古城,13082197.417489778,4397213.3156940425,117.5193789,36.69885171,明水古城，历史文化特色，自然景观与人文景观相结合，适合家庭出游，体验古色古香的建筑，感受历史文化，适合亲子游，增长知识，开阔视野。,http://p0.meituan.net/hoteltdc/ba0cc69f1cdc0201f20bfe9d9cae6ce71383384.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥180,09:00–22:00,https://you.ctrip.com/sight/jinan128/141206955.html?scene=online
16,红叶谷,13043899.772322001,4366945.940668266,117.1753453,36.48053961,红叶谷，遍赏漫山红叶，赏花胜地，自然景观优美，适合摄影爱好者，感受秋天的浪漫，欣赏红叶的美丽，体验自然与文化的融合。,http://p0.meituan.net/tdctraveldark/47ea80260ec623adc516dff6978594923678128.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥100,10月至11月 周一至周日 07:30–20:00最晚进入18:00;1月至9月，12月 周一至周日 08:00–16:30 最晚进入16:30,https://you.ctrip.com/sight/jinan128/50902.html?scene=online
17,济南龙门山景区,13046636.86256578,4363395.4180197865,117.199933,36.45489,济南龙门山景区，拥有高海拔泉群，自然景观丰富，适合登山踏青，感受自然与历史的融合，欣赏美丽的自然风光，体验户外活动的乐趣。,https://p0.meituan.net/ugcpic/7695427b63f1e899e06b2c7e80ed079e%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥60,08:30–17:00,https://you.ctrip.com/sight/jinan128/5546695.html?scene=online
18,百里黄河风景区,13023434.863926262,4400625.161960183,116.9915059,36.72342188,百里黄河风景区，各种候鸟栖息的天堂，自然景观优美，适合摄影爱好者，感受黄河的壮丽，欣赏候鸟的美丽，体验自然与文化的融合。,https://p0.meituan.net/ugcpic/6718b9baf274710522170ae674362e17%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥85,08:00–17:30,https://you.ctrip.com/sight/jinan128/1700608.html?scene=online
19,济南森林公园,13017886.166171568,4392700.344643968,116.9416611,36.6663398,济南森林公园，融入多种景观的城市公园，自然景观丰富，适合家庭出游，体验自然与文化的融合，感受城市的绿肺，享受自然的宁静。,https://p0.meituan.net/ugcpic/e99c4b0a21578427b1e0a7e7bca38b43%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,夏季05:00–22:30，冬季05:30–21:30,https://you.ctrip.com/sight/jinan128/114873.html?scene=online
20,济南野生动物世界,13046894.7564301,4360899.643492447,117.2022497,36.436855,济南野生动物世界，娱乐与动物生态展示相结合，适合家庭出游，观赏各种珍稀动物，体验亲子互动，感受自然与动物的和谐共处，适合亲子游。,http://p0.meituan.net/tdctraveldark/5875b73fc596135d798e5e88b4512f2516118938.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥60,周一至周五 08:30–17:00；周六、周日及节假日 08:30–17:30,https://you.ctrip.com/sight/jinan128/1753036.html?scene=online
21,泉城之眼·高空观景台,13024344.800575955,4393719.902251877,116.99968,36.673686,泉城之眼·高空观景台，高空俯瞰城市美景，自然景观与人文景观相结合，适合摄影爱好者，感受城市的繁华，欣赏美丽的夜景，体验现代与传统的融合。,https://p0.meituan.net/ugcpic/1d6013a95af6c58787af6fd7a34e96ea%40340w_255h_1e_1c_1l%7Cwatermark%3D0,￥20,周一至周四 11:00–21:00；周五至周日 11:00–22:00,https://you.ctrip.com/sight/jinan128/149579964.html?scene=online
22,洪家楼教堂,13031733.375742527,4395492.861359702,117.0660527,36.686459,洪家楼教堂，济南知名天主教堂，历史建筑，自然景观与人文景观相结合，适合文化爱好者，感受宗教文化的深厚底蕴，欣赏古建筑的宁静与祥和。,https://p0.meituan.net/ugcpic/8e2df188f5796391b70e6817e5cd8369%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,周一至周六：09:00–11:30，13:30–16:00；周日：08:00–17:00,https://you.ctrip.com/sight/jinan128/114668.html?scene=online
23,曲水亭风景区,13027092.955977118,4393290.70801548,117.0243671,36.67059362,曲水亭风景区，济南历史文化特色老街，自然景观与人文景观相结合，适合文化爱好者，感受老济南的韵味，欣赏古建筑的宁静与祥和。,https://p0.meituan.net/ugcpic/c7073f8389d784dfce74d42e06bdbdae%40340w_255h_1e_1c_1l%7Cwatermark%3D0,免费,全天开放,https://you.ctrip.com/sight/jinan128/110242.html?scene=online
