站点,站点详情
1. 柿子园村,大正路东侧
2. 柿子园商业街,柿子园村路西侧
3. 柿子园村南,102省道北侧
4. 五里堂村,102省道北侧
5. 曹家庄,102省道北侧
6. 卫东村,102省道北侧
7. 十里堡东,102省道北侧
8. 十里堡,102省道北侧
9. 东风新村,102省道北侧
10. 方家,102省道北侧
11. 曹家馆,102省道北侧
12. 山前村,102省道北侧
13. 郭店东,102省道北侧
14. 郭店,102省道北侧
15. 郭店街道办事处,102省道北侧
16. 庚辰铸造材料,"102省道北侧,庚辰钢铁门口对面"
17. 锦平,102省道北侧
18. 工业北路机场路,102省道北侧
19. 郭店立交桥西①,工业北路北侧
20. 韩仓,工业北路北侧
21. 工业北路凤鸣路,"工业北路北侧,胥家小区南门口"
22. 济钢东门,"工业北路北侧,济钢东1号门西行"
23. 济钢,"工业北路北侧,济钢南门东行"
24. 工业南路工业北路,"工业南路西侧,与工业北路交叉口南行"
25. 殷陈北,"工业南路西侧,与飞跃大道交叉口南行"
26. 殷陈南,工业南路西侧
27. 炼油厂,工业南路北侧
28. 义和庄,工业南路北侧
29. 工业南路凤凰路,"工业南路北侧,与凤凰路交叉口西行"
30. 邓家,工业南路北侧
31. 工业南路开拓路,"工业南路北侧,小鸭集团南邻"
32. 牛旺庄,工业南路北侧
33. 工业南路舜华路②,工业南路
34. 贤文庄,"工业南路北侧,山钢新天地南邻"
35. 工业南路正丰路,"工业南路北侧,与正丰路交叉口西行"
36. 丁家庄东,工业南路北侧
37. 丁家庄西,工业南路北侧
38. 工业南路化纤厂路,"工业南路北侧,与化纤厂路交叉口西行"
39. 工业南路彤霞路,工业南路北侧
40. 工业南路华信路,"工业南路北侧,与华信路交叉口东行"
