站点,站点详情
1. 匡山小区①,幸福街南侧
2. 济齐路交校路,济齐路交校路南，路西
3. 济齐路张庄路,济齐路、济齐路辅路交叉口
4. 八里桥,"纬十二路西侧,御景城东门南邻"
5. 纬十二路经二路,"纬十二路西侧,过街天桥南邻"
6. 纬十二路经五路,"纬十二路西侧,过街天桥北行"
7. 纬十二路经七路①,纬十二路西侧
8. 五里牌坊,经十路南侧-连城广场对面
9. 市妇幼保健院总院区,经十路南侧-过街天桥东侧
10. 八一立交桥西,经十路南侧-中国银行前
11. 经十纬一,"经十路南侧,邮电新村北邻"
12. 省体育中心①,"经十路南侧,省体育中心北门东行"
13. 全民健身中心,"经十路南侧,全民健身中心北邻"
14. 泉城公园北门,"经十路南侧,泉城公园北门东行"
15. 经十路舜耕路①,济南市历下区经十路舜耕路-公交车站
16. 千佛山②,济南市历下区千佛山-公交车站
17. 历山名郡,历山路
18. 历山路文化东路,"历山路东侧,新航大厦南邻"
19. 历山路和平路,"历山路东侧,统一银座南行"
20. 解放桥南,"历山路东侧,建筑大学和平校区西北门"
21. 中心医院②,"解放路南侧,历东商务大厦门口"
