线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
K1路,重汽彩世界,洪家楼,发车时间,5:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K1路,洪家楼,重汽彩世界,发车时间,5:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
摆渡线路1,省府北门,趵突泉东门,临时停运,10:00,22:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
摆渡线路1,趵突泉东门,省府北门,临时停运,10:00,22:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
K2路,匡山小区,中心医院,发车时间,5:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K2路,中心医院,匡山小区,发车时间,5:40,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
摆渡线路2,大明湖,大明湖,临时停运,10:00,22:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
K3路,石门,济南站,发车时间,5:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K3路,济南站,石门,发车时间,5:35,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K4路,二环北路公交车场,分水岭南,发车时间,5:00,0:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K4路,分水岭南,二环北路公交车场,发车时间,5:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K5路,太平洋小区,解放桥,发车时间,5:30,21:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K5路,解放桥,太平洋小区,发车时间,6:05,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K6路,王官庄小区东区,大明湖火车站,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K6路,大明湖火车站,王官庄小区东区,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K7路,王府庄,经五纬一,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K7路,经五纬一,王府庄,发车时间,5:30,22:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
